Concept,Layer,Seed,Method,Train ACC,Test ACC
Horizontal Line,out,6,CAR,0.7975,0.77
Horizontal Line,out,6,CAV,0.76,0.68
Horizontal Line,adaptive_pool,7,CAR,0.8525,0.85
Horizontal Line,adaptive_pool,7,CAV,0.755,0.76
Horizontal Line,tqlayer_n,7,CAR,0.765,0.74
Horizontal Line,tqlayer_n,7,CAV,0.6975,0.73
Horizontal Line,tqlayer_n_remain,7,CAR,0.8,0.83
Horizontal Line,tqlayer_n_remain,7,CAV,0.68,0.78
Horizontal Line,out,7,CAR,0.815,0.81
Horizontal Line,out,7,CAV,0.7325,0.78
Horizontal Line,adaptive_pool,8,CAR,0.87,0.89
Horizontal Line,adaptive_pool,8,CAV,0.785,0.86
Horizontal Line,tqlayer_n,8,CAR,0.8175,0.87
Horizontal Line,tqlayer_n,8,CAV,0.7325,0.85
Horizontal Line,tqlayer_n_remain,8,CAR,0.8075,0.87
Horizontal Line,tqlayer_n_remain,8,CAV,0.7,0.88
Horizontal Line,out,8,CAR,0.82,0.87
Horizontal Line,out,8,CAV,0.8025,0.83
Horizontal Line,adaptive_pool,9,CAR,0.835,0.87
Horizontal Line,adaptive_pool,9,CAV,0.735,0.77
Horizontal Line,tqlayer_n,9,CAR,0.775,0.79
Horizontal Line,tqlayer_n,9,CAV,0.655,0.7
Horizontal Line,tqlayer_n_remain,9,CAR,0.7725,0.83
Horizontal Line,tqlayer_n_remain,9,CAV,0.6575,0.71
Horizontal Line,out,9,CAR,0.7775,0.82
Horizontal Line,out,9,CAV,0.755,0.76
Horizontal Line,adaptive_pool,10,CAR,0.83,0.83
Horizontal Line,adaptive_pool,10,CAV,0.725,0.73
Horizontal Line,tqlayer_n,10,CAR,0.77,0.81
Horizontal Line,tqlayer_n,10,CAV,0.6325,0.62
Horizontal Line,tqlayer_n_remain,10,CAR,0.775,0.76
Horizontal Line,tqlayer_n_remain,10,CAV,0.6475,0.69
Horizontal Line,out,10,CAR,0.7875,0.74
Horizontal Line,out,10,CAV,0.765,0.74
Curvature,adaptive_pool,1,CAR,0.8475,0.85
Curvature,adaptive_pool,1,CAV,0.7675,0.8
