Concept Sets Size,Random Seed,Concept,Test Accuracy
280,4,Curvature,0.8178571428571428
10,5,Curvature,0.9
40,5,Curvature,0.825
70,5,Curvature,0.8285714285714286
100,5,Curvature,0.83
130,5,Curvature,0.823076923076923
160,5,Curvature,0.828125
190,5,Curvature,0.8131578947368421
220,5,Curvature,0.8090909090909091
250,5,Curvature,0.82
280,5,Curvature,0.8214285714285714
10,6,Curvature,0.85
40,6,Curvature,0.7875
70,6,Curvature,0.8285714285714286
100,6,Curvature,0.84
130,6,Curvature,0.8346153846153846
160,6,Curvature,0.83125
190,6,Curvature,0.8394736842105263
220,6,Curvature,0.8431818181818181
250,6,Curvature,0.852
280,6,Curvature,0.8464285714285714
10,7,Curvature,0.7
40,7,Curvature,0.7625
70,7,Curvature,0.8071428571428572
100,7,Curvature,0.785
130,7,Curvature,0.8076923076923077
160,7,Curvature,0.796875
190,7,Curvature,0.8131578947368421
220,7,Curvature,0.8045454545454546
250,7,Curvature,0.81
280,7,Curvature,0.8125
10,8,Curvature,0.95
40,8,Curvature,0.75
70,8,Curvature,0.7571428571428571
100,8,Curvature,0.735
130,8,Curvature,0.7461538461538462
160,8,Curvature,0.7625
190,8,Curvature,0.7789473684210526
220,8,Curvature,0.7818181818181819
250,8,Curvature,0.788
280,8,Curvature,0.7964285714285714
10,9,Curvature,0.7
40,9,Curvature,0.7875
70,9,Curvature,0.7928571428571428
100,9,Curvature,0.79
130,9,Curvature,0.8115384615384615
160,9,Curvature,0.81875
190,9,Curvature,0.8210526315789474
220,9,Curvature,0.7954545454545454
250,9,Curvature,0.82
280,9,Curvature,0.8107142857142857
10,10,Curvature,0.7
40,10,Curvature,0.8
70,10,Curvature,0.7785714285714286
100,10,Curvature,0.785
130,10,Curvature,0.8192307692307692
160,10,Curvature,0.815625
190,10,Curvature,0.8052631578947368
220,10,Curvature,0.8181818181818182
250,10,Curvature,0.82
280,10,Curvature,0.825
