Concept,Layer,Seed,Method,Train ACC,Test ACC
Fusion Beats,Conv3,6,CAV,0.9975,0.93
Fusion Beats,Lin,6,CAR,0.9525,0.95
Fusion Beats,Lin,6,CAV,0.92,0.91
Fusion Beats,Conv1,7,CAR,0.9175,0.99
Fusion Beats,Conv1,7,CAV,0.92,0.98
Fusion Beats,Conv2,7,CAR,0.9325,0.99
Fusion Beats,Conv2,7,CAV,0.96,0.97
Fusion Beats,Conv3,7,CAR,0.955,0.98
Fusion Beats,Conv3,7,CAV,0.98,0.96
Fusion Beats,Lin,7,CAR,0.945,0.99
Fusion Beats,Lin,7,CAV,0.8875,0.94
Fusion Beats,Conv1,8,CAR,0.92,0.94
Fusion Beats,Conv1,8,CAV,0.935,0.91
Fusion Beats,Conv2,8,CAR,0.9325,0.94
Fusion Beats,Conv2,8,CAV,0.9575,0.87
Fusion Beats,Conv3,8,CAR,0.9625,0.96
Fusion Beats,Conv3,8,CAV,0.9675,0.9
Fusion Beats,Lin,8,CAR,0.9375,0.93
Fusion Beats,Lin,8,CAV,0.9075,0.88
Fusion Beats,Conv1,9,CAR,0.9125,0.9
Fusion Beats,Conv1,9,CAV,0.925,0.87
Fusion Beats,Conv2,9,CAR,0.9375,0.93
Fusion Beats,Conv2,9,CAV,0.97,0.88
Fusion Beats,Conv3,9,CAR,0.955,0.92
Fusion Beats,Conv3,9,CAV,0.995,0.87
Fusion Beats,Lin,9,CAR,0.945,0.92
Fusion Beats,Lin,9,CAV,0.9175,0.89
Fusion Beats,Conv1,10,CAR,0.8975,0.87
Fusion Beats,Conv1,10,CAV,0.905,0.87
Fusion Beats,Conv2,10,CAR,0.92,0.89
Fusion Beats,Conv2,10,CAV,0.9525,0.96
Fusion Beats,Conv3,10,CAR,0.9275,0.93
Fusion Beats,Conv3,10,CAV,0.9725,0.92
Fusion Beats,Lin,10,CAR,0.9425,0.9
Fusion Beats,Lin,10,CAV,0.635,0.62
Unknown,Conv1,1,CAR,0.97,0.92
Unknown,Conv1,1,CAV,0.97,0.9
Unknown,Conv2,1,CAR,0.97,0.92
Unknown,Conv2,1,CAV,0.9925,0.91
Unknown,Conv3,1,CAR,0.975,0.92
Unknown,Conv3,1,CAV,0.9975,0.92
Unknown,Lin,1,CAR,0.9725,0.92
Unknown,Lin,1,CAV,0.9575,0.84
Unknown,Conv1,2,CAR,0.95,0.95
Unknown,Conv1,2,CAV,0.9375,0.92
Unknown,Conv2,2,CAR,0.9625,0.96
Unknown,Conv2,2,CAV,0.98,0.96
Unknown,Conv3,2,CAR,0.9775,0.95
Unknown,Conv3,2,CAV,1.0,0.96
Unknown,Lin,2,CAR,0.9525,0.95
Unknown,Lin,2,CAV,0.92,0.87
Unknown,Conv1,3,CAR,0.9475,0.96
Unknown,Conv1,3,CAV,0.9475,0.92
Unknown,Conv2,3,CAR,0.965,0.96
Unknown,Conv2,3,CAV,0.9875,0.92
Unknown,Conv3,3,CAR,0.975,0.96
Unknown,Conv3,3,CAV,0.995,0.97
Unknown,Lin,3,CAR,0.9575,0.96
Unknown,Lin,3,CAV,0.965,0.94
Unknown,Conv1,4,CAR,0.9575,0.91
Unknown,Conv1,4,CAV,0.9475,0.92
Unknown,Conv2,4,CAR,0.9625,0.92
Unknown,Conv2,4,CAV,0.9675,0.95
Unknown,Conv3,4,CAR,0.965,0.92
Unknown,Conv3,4,CAV,0.9875,0.97
Unknown,Lin,4,CAR,0.9575,0.92
Unknown,Lin,4,CAV,0.935,0.94
Unknown,Conv1,5,CAR,0.9475,0.9
Unknown,Conv1,5,CAV,0.97,0.9
Unknown,Conv2,5,CAR,0.9675,0.91
Unknown,Conv2,5,CAV,0.99,0.88
Unknown,Conv3,5,CAR,0.97,0.9
Unknown,Conv3,5,CAV,1.0,0.93
Unknown,Lin,5,CAR,0.95,0.91
Unknown,Lin,5,CAV,0.95,0.88
Unknown,Conv1,6,CAR,0.9325,0.93
Unknown,Conv1,6,CAV,0.9325,0.92
Unknown,Conv2,6,CAR,0.945,0.93
Unknown,Conv2,6,CAV,0.98,0.96
Unknown,Conv3,6,CAR,0.96,0.93
Unknown,Conv3,6,CAV,0.9975,0.95
Unknown,Lin,6,CAR,0.94,0.93
Unknown,Lin,6,CAV,0.94,0.98
Unknown,Conv1,7,CAR,0.9475,0.95
Unknown,Conv1,7,CAV,0.95,0.89
Unknown,Conv2,7,CAR,0.9775,0.96
Unknown,Conv2,7,CAV,0.9975,0.95
Unknown,Conv3,7,CAR,0.98,0.96
Unknown,Conv3,7,CAV,1.0,0.95
Unknown,Lin,7,CAR,0.9575,0.97
Unknown,Lin,7,CAV,0.8875,0.85
Unknown,Conv1,8,CAR,0.96,0.96
Unknown,Conv1,8,CAV,0.955,0.93
Unknown,Conv2,8,CAR,0.9725,0.97
Unknown,Conv2,8,CAV,0.995,0.94
Unknown,Conv3,8,CAR,0.975,0.97
Unknown,Conv3,8,CAV,0.9875,0.97
Unknown,Lin,8,CAR,0.9675,0.97
Unknown,Lin,8,CAV,0.9725,0.96
Unknown,Conv1,9,CAR,0.955,0.94
Unknown,Conv1,9,CAV,0.9625,0.94
Unknown,Conv2,9,CAR,0.9725,0.96
Unknown,Conv2,9,CAV,0.99,0.94
Unknown,Conv3,9,CAR,0.9825,0.96
Unknown,Conv3,9,CAV,0.995,0.95
Unknown,Lin,9,CAR,0.975,0.95
Unknown,Lin,9,CAV,0.935,0.93
Unknown,Conv1,10,CAR,0.9725,0.92
Unknown,Conv1,10,CAV,0.975,0.92
Unknown,Conv2,10,CAR,0.9825,0.93
Unknown,Conv2,10,CAV,0.995,0.93
Unknown,Conv3,10,CAR,0.99,0.93
Unknown,Conv3,10,CAV,1.0,0.94
Unknown,Lin,10,CAR,0.9825,0.93
Unknown,Lin,10,CAV,0.9525,0.91
