Concept Sets Size,Random Seed,Concept,Test Accuracy
280,2,Horizontal Line,0.9875222816399287
10,3,Horizontal Line,0.9523809523809523
40,3,Horizontal Line,0.9629629629629629
70,3,Horizontal Line,0.9787234042553191
100,3,Horizontal Line,0.9751243781094527
130,3,Horizontal Line,0.9731800766283525
160,3,Horizontal Line,0.9813084112149533
190,3,Horizontal Line,0.9763779527559056
220,3,Horizontal Line,0.9795918367346939
250,3,Horizontal Line,0.9860279441117764
280,3,Horizontal Line,0.9875222816399287
10,4,Horizontal Line,0.9047619047619048
40,4,Horizontal Line,0.9506172839506173
70,4,Horizontal Line,0.9787234042553191
100,4,Horizontal Line,0.9850746268656716
130,4,Horizontal Line,0.9846743295019157
160,4,Horizontal Line,0.9906542056074766
190,4,Horizontal Line,0.9868766404199475
220,4,Horizontal Line,0.9886621315192744
250,4,Horizontal Line,0.9880239520958084
280,4,Horizontal Line,0.9875222816399287
10,5,Horizontal Line,0.9523809523809523
40,5,Horizontal Line,0.9876543209876543
70,5,Horizontal Line,0.9929078014184397
100,5,Horizontal Line,0.9950248756218906
130,5,Horizontal Line,0.9923371647509579
160,5,Horizontal Line,0.9968847352024922
190,5,Horizontal Line,0.9973753280839895
220,5,Horizontal Line,0.9954648526077098
250,5,Horizontal Line,0.9940119760479041
280,5,Horizontal Line,0.9946524064171123
10,6,Horizontal Line,0.9523809523809523
40,6,Horizontal Line,0.9629629629629629
70,6,Horizontal Line,0.9716312056737588
100,6,Horizontal Line,0.9850746268656716
130,6,Horizontal Line,0.9885057471264368
160,6,Horizontal Line,0.9875389408099688
190,6,Horizontal Line,0.9921259842519685
220,6,Horizontal Line,0.9909297052154195
250,6,Horizontal Line,0.9920159680638723
280,6,Horizontal Line,0.9928698752228164
10,7,Horizontal Line,0.9047619047619048
40,7,Horizontal Line,0.9876543209876543
70,7,Horizontal Line,0.9858156028368794
100,7,Horizontal Line,0.9850746268656716
130,7,Horizontal Line,0.9846743295019157
160,7,Horizontal Line,0.9906542056074766
190,7,Horizontal Line,0.989501312335958
220,7,Horizontal Line,0.9931972789115646
250,7,Horizontal Line,0.9920159680638723
280,7,Horizontal Line,0.9910873440285205
10,8,Horizontal Line,0.8571428571428571
40,8,Horizontal Line,0.9753086419753086
70,8,Horizontal Line,0.9858156028368794
100,8,Horizontal Line,0.9900497512437811
130,8,Horizontal Line,0.9885057471264368
160,8,Horizontal Line,0.9906542056074766
190,8,Horizontal Line,0.9921259842519685
220,8,Horizontal Line,0.9931972789115646
250,8,Horizontal Line,0.9940119760479041
280,8,Horizontal Line,0.9946524064171123
10,9,Horizontal Line,0.9523809523809523
40,9,Horizontal Line,0.9876543209876543
70,9,Horizontal Line,0.9929078014184397
100,9,Horizontal Line,0.9900497512437811
130,9,Horizontal Line,0.9923371647509579
160,9,Horizontal Line,0.9844236760124611
190,9,Horizontal Line,0.984251968503937
220,9,Horizontal Line,0.9863945578231292
250,9,Horizontal Line,0.9880239520958084
280,9,Horizontal Line,0.9893048128342246
10,10,Horizontal Line,0.8571428571428571
40,10,Horizontal Line,0.9753086419753086
70,10,Horizontal Line,0.9787234042553191
100,10,Horizontal Line,0.9800995024875622
130,10,Horizontal Line,0.9846743295019157
160,10,Horizontal Line,0.9875389408099688
190,10,Horizontal Line,0.989501312335958
220,10,Horizontal Line,0.9886621315192744
250,10,Horizontal Line,0.9940119760479041
280,10,Horizontal Line,0.9928698752228164
10,1,Curvature,0.9523809523809523
40,1,Curvature,0.9876543209876543
70,1,Curvature,0.9929078014184397
100,1,Curvature,0.9950248756218906
130,1,Curvature,0.9961685823754789
160,1,Curvature,0.9968847352024922
190,1,Curvature,0.9973753280839895
220,1,Curvature,0.9977324263038548
250,1,Curvature,0.998003992015968
280,1,Curvature,0.9982174688057041
10,2,Curvature,0.9523809523809523
40,2,Curvature,0.9876543209876543
70,2,Curvature,0.9929078014184397
100,2,Curvature,0.9950248756218906
130,2,Curvature,0.9961685823754789
160,2,Curvature,0.9937694704049844
190,2,Curvature,0.9973753280839895
220,2,Curvature,0.9954648526077098
250,2,Curvature,0.998003992015968
