Set,Concept,Seed,Kernel,Accuracy
Training,Vertical Line,10,Linear,0.8225
Validation,Vertical Line,10,Linear,0.84
Training,Vertical Line,10,Polynomial,0.8575
Validation,Vertical Line,10,Polynomial,0.86
Training,Vertical Line,10,Sigmoid,0.8
Validation,Vertical Line,10,Sigmoid,0.81
Training,Vertical Line,10,Matern,0.8625
Validation,Vertical Line,10,Matern,0.88
Training,Horizontal Line,1,Gaussian RBF,0.84
Validation,Horizontal Line,1,Gaussian RBF,0.79
Training,Horizontal Line,1,Linear,0.82
Validation,Horizontal Line,1,Linear,0.79
Training,Horizontal Line,1,Polynomial,0.845
Validation,Horizontal Line,1,Polynomial,0.81
Training,Horizontal Line,1,Sigmoid,0.795
Validation,Horizontal Line,1,Sigmoid,0.74
Training,Horizontal Line,1,Matern,0.84
Validation,Horizontal Line,1,Matern,0.79
Training,Horizontal Line,2,Gaussian RBF,0.8025
Validation,Horizontal Line,2,Gaussian RBF,0.83
Training,Horizontal Line,2,Linear,0.7575
Validation,Horizontal Line,2,Linear,0.8
Training,Horizontal Line,2,Polynomial,0.82
Validation,Horizontal Line,2,Polynomial,0.83
Training,Horizontal Line,2,Sigmoid,0.7175
Validation,Horizontal Line,2,Sigmoid,0.77
Training,Horizontal Line,2,Matern,0.82
Validation,Horizontal Line,2,Matern,0.83
Training,Horizontal Line,3,Gaussian RBF,0.8025
Validation,Horizontal Line,3,Gaussian RBF,0.77
Training,Horizontal Line,3,Linear,0.755
Validation,Horizontal Line,3,Linear,0.75
Training,Horizontal Line,3,Polynomial,0.805
Validation,Horizontal Line,3,Polynomial,0.78
Training,Horizontal Line,3,Sigmoid,0.715
Validation,Horizontal Line,3,Sigmoid,0.72
Training,Horizontal Line,3,Matern,0.81
Validation,Horizontal Line,3,Matern,0.79
Training,Horizontal Line,4,Gaussian RBF,0.845
Validation,Horizontal Line,4,Gaussian RBF,0.84
Training,Horizontal Line,4,Linear,0.815
Validation,Horizontal Line,4,Linear,0.78
Training,Horizontal Line,4,Polynomial,0.8475
Validation,Horizontal Line,4,Polynomial,0.84
Training,Horizontal Line,4,Sigmoid,0.7675
Validation,Horizontal Line,4,Sigmoid,0.74
Training,Horizontal Line,4,Matern,0.8625
Validation,Horizontal Line,4,Matern,0.84
Training,Horizontal Line,5,Gaussian RBF,0.7925
Validation,Horizontal Line,5,Gaussian RBF,0.82
Training,Horizontal Line,5,Linear,0.7625
Validation,Horizontal Line,5,Linear,0.81
Training,Horizontal Line,5,Polynomial,0.795
Validation,Horizontal Line,5,Polynomial,0.83
Training,Horizontal Line,5,Sigmoid,0.7425
Validation,Horizontal Line,5,Sigmoid,0.74
Training,Horizontal Line,5,Matern,0.7975
Validation,Horizontal Line,5,Matern,0.82
Training,Horizontal Line,6,Gaussian RBF,0.77
Validation,Horizontal Line,6,Gaussian RBF,0.81
Training,Horizontal Line,6,Linear,0.7475
Validation,Horizontal Line,6,Linear,0.78
Training,Horizontal Line,6,Polynomial,0.77
Validation,Horizontal Line,6,Polynomial,0.8
Training,Horizontal Line,6,Sigmoid,0.7225
Validation,Horizontal Line,6,Sigmoid,0.75
Training,Horizontal Line,6,Matern,0.775
Validation,Horizontal Line,6,Matern,0.82
Training,Horizontal Line,7,Gaussian RBF,0.795
Validation,Horizontal Line,7,Gaussian RBF,0.83
Training,Horizontal Line,7,Linear,0.78
Validation,Horizontal Line,7,Linear,0.8
Training,Horizontal Line,7,Polynomial,0.8
Validation,Horizontal Line,7,Polynomial,0.84
Training,Horizontal Line,7,Sigmoid,0.75
Validation,Horizontal Line,7,Sigmoid,0.81
Training,Horizontal Line,7,Matern,0.8
Validation,Horizontal Line,7,Matern,0.83
Training,Horizontal Line,8,Gaussian RBF,0.81
Validation,Horizontal Line,8,Gaussian RBF,0.86
Training,Horizontal Line,8,Linear,0.78
Validation,Horizontal Line,8,Linear,0.84
Training,Horizontal Line,8,Polynomial,0.8175
Validation,Horizontal Line,8,Polynomial,0.87
Training,Horizontal Line,8,Sigmoid,0.735
Validation,Horizontal Line,8,Sigmoid,0.79
Training,Horizontal Line,8,Matern,0.8125
Validation,Horizontal Line,8,Matern,0.87
Training,Horizontal Line,9,Gaussian RBF,0.8225
Validation,Horizontal Line,9,Gaussian RBF,0.77
Training,Horizontal Line,9,Linear,0.8125
Validation,Horizontal Line,9,Linear,0.69
Training,Horizontal Line,9,Polynomial,0.8275
Validation,Horizontal Line,9,Polynomial,0.79
Training,Horizontal Line,9,Sigmoid,0.78
Validation,Horizontal Line,9,Sigmoid,0.7
Training,Horizontal Line,9,Matern,0.825
Validation,Horizontal Line,9,Matern,0.78
Training,Horizontal Line,10,Gaussian RBF,0.8275
Validation,Horizontal Line,10,Gaussian RBF,0.86
Training,Horizontal Line,10,Linear,0.8075
Validation,Horizontal Line,10,Linear,0.85
Training,Horizontal Line,10,Polynomial,0.835
Validation,Horizontal Line,10,Polynomial,0.87
Training,Horizontal Line,10,Sigmoid,0.735
Validation,Horizontal Line,10,Sigmoid,0.68
Training,Horizontal Line,10,Matern,0.835
Validation,Horizontal Line,10,Matern,0.87
Training,Curvature,1,Gaussian RBF,0.8425
Validation,Curvature,1,Gaussian RBF,0.82
Training,Curvature,1,Linear,0.8225
Validation,Curvature,1,Linear,0.79
Training,Curvature,1,Polynomial,0.845
Validation,Curvature,1,Polynomial,0.82
Training,Curvature,1,Sigmoid,0.7775
Validation,Curvature,1,Sigmoid,0.79
Training,Curvature,1,Matern,0.8475
Validation,Curvature,1,Matern,0.82
Training,Curvature,2,Gaussian RBF,0.845
Validation,Curvature,2,Gaussian RBF,0.83
Training,Curvature,2,Linear,0.83
Validation,Curvature,2,Linear,0.82
Training,Curvature,2,Polynomial,0.8625
Validation,Curvature,2,Polynomial,0.83
Training,Curvature,2,Sigmoid,0.8
Validation,Curvature,2,Sigmoid,0.82
Training,Curvature,2,Matern,0.85
Validation,Curvature,2,Matern,0.83
Training,Curvature,3,Gaussian RBF,0.865
Validation,Curvature,3,Gaussian RBF,0.89
Training,Curvature,3,Linear,0.8325
Validation,Curvature,3,Linear,0.89
Training,Curvature,3,Polynomial,0.8625
Validation,Curvature,3,Polynomial,0.87
Training,Curvature,3,Sigmoid,0.8125
Validation,Curvature,3,Sigmoid,0.81
Training,Curvature,3,Matern,0.865
Validation,Curvature,3,Matern,0.89
Training,Curvature,4,Gaussian RBF,0.83
Validation,Curvature,4,Gaussian RBF,0.85
Training,Curvature,4,Linear,0.815
Validation,Curvature,4,Linear,0.84
Training,Curvature,4,Polynomial,0.84
Validation,Curvature,4,Polynomial,0.87
Training,Curvature,4,Sigmoid,0.785
Validation,Curvature,4,Sigmoid,0.83
Training,Curvature,4,Matern,0.835
Validation,Curvature,4,Matern,0.86
Training,Curvature,5,Gaussian RBF,0.8525
Validation,Curvature,5,Gaussian RBF,0.8
Training,Curvature,5,Linear,0.8275
Validation,Curvature,5,Linear,0.77
Training,Curvature,5,Polynomial,0.8675
Validation,Curvature,5,Polynomial,0.82
Training,Curvature,5,Sigmoid,0.81
Validation,Curvature,5,Sigmoid,0.71
Training,Curvature,5,Matern,0.855
Validation,Curvature,5,Matern,0.8
Training,Curvature,6,Gaussian RBF,0.8225
Validation,Curvature,6,Gaussian RBF,0.84
Training,Curvature,6,Linear,0.8125
Validation,Curvature,6,Linear,0.84
Training,Curvature,6,Polynomial,0.8325
Validation,Curvature,6,Polynomial,0.84
Training,Curvature,6,Sigmoid,0.79
